team,season,ufga,ufgm,pts_off_tov,pts_paint,ufgp,Wins,Losses,FGM,FGA,FG%,2pm,2pa,2p%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-,UncontestedAssists,GP,MIN_x,MIN_y,DEFRTG,AST%,AST/TO,AST RAT,OREB%,DREB%,TOV%,EFG%,TS%,PACE,PIE,OPP PTS OFF TOV,OPP PTS 2ND CHANCE,OPP PTS FB,OPP PTS PAINT
Hornets,2014,12052,4932,4294,12268,0.409226684,33,49,2913,6932,42,2415,5366,0.450055908,498,1566,31.8,1397,1867,74.8,820,2793,3613,1654,976,499,448,440,1494,1708,-260,2.981862152,82,1354,3981,104.5,53.6,1.49,15.3,22.2,81.6,13.3,48.9,53.2,101.06,49.1,1053,1031,905,3156
Hornets,2015,13848,5864,5226,13868,0.42345465,48,34,3036,6922,43.9,2163,4512,0.479388298,873,2410,36.2,1534,1941,79,734,2869,3603,1778,1029,595,438,448,1487,1670,223,3.298087739,82,3971,3971,101.8,58.6,1.73,16.8,20,79.8,12.7,50.2,54.5,97.8,51.1,1155,933,1017,3280
Hornets,2016,1288,516,496,1316,0.400621118,36,46,3093,7000,44.2,2269,4653,0.487642381,824,2347,35.1,1591,1953,81.5,721,2853,3574,1891,942,571,390,450,1360,1631,16,0.272871497,82,3966,3966,106.1,61.1,2.01,17.7,19.9,79.6,11.7,50.1,54.7,97.85,50.5,1071,937,1055,3320
Jazz,2014,12060,5028,5348,13296,0.416915423,38,44,2900,6492,44.7,2290,4711,0.48609637,610,1781,34.3,1391,1929,72.1,988,2617,3605,1632,1256,623,489,382,1583,1604,18,3.080882353,82,1397,3941,101.8,57.8,1.45,17,20,78.5,15.3,52.6,56.3,97.71,52.2,1429,1028,1037,3236
Jazz,2015,12204,5196,5432,14032,0.425762045,40,42,2957,6593,44.9,2263,4637,0.488031055,694,1956,35.5,1402,1885,74.4,880,2665,3545,1554,1224,631,425,385,1655,1629,147,3.343629344,82,3991,3991,101.6,52.6,1.27,15.2,25.9,77.7,15.8,50.1,54,93.26,50.8,1312,940,961,3246
Jazz,2016,1576,656,594,1660,0.416243655,51,31,3033,6515,46.6,2242,4387,0.511055391,791,2128,37.2,1401,1875,74.7,771,2774,3545,1651,1118,550,410,312,1545,1655,323,0.397334949,82,3951,3951,102.7,54.4,1.48,16.3,23.2,78.9,14.5,52.6,56.3,93.62,53.4,1243,878,865,3358
Kings,2014,11024,4964,5542,14576,0.450290276,29,53,3010,6617,45.5,2549,5267,0.483956712,461,1350,34.1,1829,2400,76.2,895,2728,3623,1667,1333,550,324,508,1696,1958,-304,2.977804439,82,1349,3971,109.1,54.5,1.38,16.1,21.5,76.3,15.3,49.5,52.2,96.82,43.8,1524,1115,1378,3596
Kings,2015,14444,6524,6498,16700,0.451675436,33,49,3283,7083,46.4,2623,5244,0.500190694,660,1839,35.9,1514,2089,72.5,868,2760,3628,2009,1326,733,368,437,1676,1800,-203,3.24738676,82,3961,3961,106.3,61.2,1.52,17.7,23.9,74.9,15.7,51,54.6,102.24,49.4,1528,1117,1231,3574
Kings,2016,1488,616,772,1828,0.413978495,32,50,3105,6734,46.1,2368,4774,0.496020109,737,1960,37.6,1483,1913,77.5,715,2652,3367,1844,1201,627,324,420,1667,1646,-318,0.334056399,82,3976,3976,109.1,59.4,1.54,17.4,21,76.3,14.9,51.6,55.6,97.06,47.8,1426,1024,1209,3340
Knicks,2014,12536,5500,5204,12208,0.438736439,17,65,2882,6726,42.8,2322,5112,0.454225352,560,1614,34.7,1211,1575,76.9,867,2443,3310,1746,1206,575,382,353,1768,1564,-764,3.150057274,82,1349,3971,105.2,57.4,1.45,17.3,26.4,77.4,16,51.8,55.5,98.73,51.3,1406,1027,1006,3372
