team,season,Wins,Losses,ufga,ufgm,ufgp,pts_off_tov,TO_RATIO,pts_paint,FGM,FGA,FG%,2pm,2PM_PACE,2pa,2p%,3PM,3PM_PACE,3PA,3P%,OREB,OR_PACE,DREB,DR_PACE,REB,AST,AST_PACE,UncontestedAssists,UA_PACE,TOV,STL,BLK,STOCKS,STOCKS_PACE,+/-,DEFRTG,NETRTG,AST%,AST/TO,AST RAT,TOV%,EFG%,TS%,PACE,OPP PTS OFF TOV,OPP PTS 2ND CHANCE,OPP PTS FB,OPP PTS PAINT
Jazz,2014,38,44,12060,5028,0.41691542288557215,5348,3.742477256822953,13296,2900,6492,44.7,2290,23.436700440077782,4711,0.48609637,610,6.2429638726844745,1781,34.3,988,10.111554600347969,2617,26.783338450516837,3605,1632,16.70248695118207,3.0808823529411766,0.03153088069738181,1256,623,489,1112,11.380616108893665,18,101.8,3.4,57.8,1.45,17.0,15.3,52.6,56.3,97.71,1429,1028,1037,3236
Kings,2014,29,53,11024,4964,0.4502902757619739,5542,3.636482939632546,14576,3010,6617,45.5,2549,26.32720512290849,5267,0.483956712,461,4.7614129312125595,1350,34.1,895,9.243957859946292,2728,28.17599669489775,3623,1667,17.217517041933487,2.9778044391121776,0.030756087989177627,1333,550,324,874,9.027060524684982,-304,109.1,-10.6,54.5,1.38,16.1,15.3,49.5,52.2,96.82,1524,1115,1378,3596
Knicks,2014,17,65,12536,5500,0.4387364390555201,5204,3.7012802275960173,12208,2882,6726,42.8,2322,23.518687329079306,5112,0.454225352,560,5.672034842499746,1614,34.7,867,8.781525372227286,2443,24.744252000405144,3310,1746,17.684594348222426,3.150057273768614,0.03190577609408097,1206,575,382,957,9.693102400486174,-764,105.2,0.1,57.4,1.45,17.3,16.0,51.8,55.5,98.73,1406,1027,1006,3372
Lakers,2014,21,61,11292,4852,0.42968473255402057,4982,3.817624521072797,13936,3054,7020,43.5,2522,24.103985472617797,5474,0.46072342,532,5.084583771384881,1546,34.4,952,9.098728854057153,2647,25.298671509127402,3599,1715,16.391092420911786,2.8291545189504372,0.027039611191345094,1086,578,366,944,9.022268947720539,-561,103.3,-2.8,56.8,1.35,16.6,16.2,50.4,53.4,104.63,1305,1025,1241,3696
Magic,2014,25,57,11880,5280,0.4444444444444444,5456,3.9421965317919074,14132,3076,6792,45.3,2522,24.684349613389447,5194,0.485560262,554,5.422335323480474,1598,34.7,822,8.045414505236371,2607,25.516296368797104,3429,1692,16.560634237055886,3.120567375886525,0.030542892981173776,1221,647,314,961,9.405892140550064,-469,107.1,-3.5,59.2,1.57,17.6,14.7,52.4,55.4,102.17,1384,957,1010,3366
Mavericks,2014,50,32,14516,6420,0.44227059796087076,5978,4.801606425702811,14740,3255,7036,46.3,2523,25.908810844115838,4954,0.509285426,732,7.5169439309919905,2082,35.2,858,8.810844115834874,2608,26.781680016430478,3466,1846,18.95666461285685,3.4777898158179847,0.03571359432961578,1062,663,371,1034,10.61819675498049,238,106.0,-4.2,57.9,1.6,16.7,13.6,50.5,53.8,97.38,1245,1150,1301,3352
Nets,2014,38,44,12052,5140,0.4264852306671092,5306,4.1453125,15492,3069,6804,45.1,2528,24.282009413120736,5171,0.488880294,541,5.196426856209778,1633,33.1,846,8.12602055518202,2627,25.2329267121314,3473,1716,16.482566516184804,2.9953379953379953,0.028770896122735524,1133,576,340,916,8.798386322159255,-236,106.9,-4.0,58.4,1.39,16.4,15.5,50.8,54.6,104.11,1280,1152,1133,3574
Nuggets,2014,30,52,12104,4940,0.4081295439524124,5460,4.050445103857567,14380,3099,7158,43.3,2439,24.510099487488695,5126,0.47580959799999994,660,6.632499246306904,2032,32.5,1012,10.169832177670585,2653,26.660637121897295,3665,1788,17.968043412722338,2.762863534675615,0.027764682289977038,1166,641,367,1008,10.129635212541453,-291,107.4,0.2,58.4,1.49,17.3,15.7,52.7,55.8,99.51,1348,1160,1082,3516
Pacers,2014,38,44,12208,5284,0.43283093053735255,4872,3.8241758241758244,12360,2998,6824,43.9,2386,23.77441211638103,5084,0.4693155,612,6.098047030689518,1740,35.2,856,8.529294539657235,2822,28.118772419290554,3678,1757,17.50697489039458,3.0073989755264656,0.029966111752954022,1147,505,375,880,8.76843363889996,23,105.9,2.0,55.5,1.64,17.3,14.0,53.5,56.5,100.36,1274,967,1070,3140
Pelicans,2014,45,37,12552,5508,0.43881453154875716,4920,4.066115702479339,15664,3108,6795,45.7,2522,24.686765857478466,5212,0.483883346,586,5.736100234925607,1583,37.0,942,9.220830070477682,2621,25.655833985904465,3563,1806,17.678151918559124,3.0498338870431896,0.02985350320128416,1087,553,510,1063,10.405246671887236,65,107.8,0.1,63.7,1.62,19.3,16.1,55.7,58.5,102.16,1210,1058,1123,3812
