,Wins,+/-,2PM_PACE,2p%,2pa,2pm,3P%,3PA,3PM,3PM_PACE,AST,AST RAT,AST%,AST/TO,AST_PACE,BLK,DEFRTG,DREB,DR_PACE,EFG%,FG%,FGA,FGM,Losses,NETRTG,OPP PTS 2ND CHANCE,OPP PTS FB,OPP PTS OFF TOV,OPP PTS PAINT,OREB,OR_PACE,PACE,REB,STL,STOCKS,STOCKS_PACE,TOV,TOV%,TO_RATIO,TS%,UA_PACE,UncontestedAssists,pts_off_tov,pts_paint,season,ufga,ufgm,ufgp
OPP PTS 2ND CHANCE,-0.01,-0.035128518,-0.223542083,0.130685693,-0.223858512,-0.172657222,-0.071290749,0.353767168,0.303822031,0.281115423,0.116143612,0.048367933,0.045142451,0.036587665,0.049814296,-0.056401611,0.125614023,-0.268333404,-0.337543073,0.12569082,-0.041850674,0.242783577,0.12662809,0.007115198,0.086875024,0,0,0.296260521,0,0.158202537,0.101929562,0.207165393,-0.131694065,0.366546439,0.261249651,0.202623393,0.217320868,0.056219553,0.148959083,0.14742117,-0.171954557,-0.121389157,0.374658388,0.263931525,,0.027743458,0.001532945,-0.123303911
OPP PTS FB,-0.10,-0.120786044,-0.025270868,0.038096565,0.029968047,0.061464201,-0.070462946,0.035108332,0.014274698,-0.017714793,-0.191472349,-0.014904818,0.027808732,-0.155853093,-0.244823377,0.037296766,0.163880174,0.018697579,-0.090185338,-0.068333212,0.001955348,0.113688959,0.081863181,0.098885389,-0.177146789,0.274674578,0,0.333485602,0,0.20648119,0.135094431,0.245556275,0.129571835,0.054698321,0.064517761,-0.000669975,0.233046547,0.255937837,-0.13749127,-0.098851367,-0.11452626,-0.063117418,0.093978186,0.163271618,,-0.15875914,-0.146696011,-0.027341086
PACE,-0.15,-0.200393744,-0.53276804,-0.120699633,-0.101213142,-0.197113013,4.63E-05,0.229838776,0.205947724,0.100030353,-0.094682658,0.19209733,0.203332416,-0.028788214,-0.356413147,0.174621496,0.095971502,0.005471089,-0.46407067,0.23605612,-0.20256066,0.2336644,-0.001534363,0.154022564,0.090126943,0,0,0,0,0.039168708,-0.219224686,0,0.02615164,0.040764169,0.130089446,-0.11441765,0.031736126,0.35438229,-0.072262606,0.222335502,-0.282893622,-0.046922692,0.016069648,0.074850795,,-0.045865794,-0.06984509,-0.165939677
TOV%,-0.16,-0.210967268,-0.38594616,-0.054674072,-0.242374637,-0.304304538,0.012774965,0.134010253,0.121971174,0.081195271,-0.054252552,0.300913557,0.415126547,-0.321431875,-0.149767449,0.244684518,0.018022049,-0.247101311,-0.379632695,0,-0.109599441,-0.178571714,-0.205559009,0.163426872,-0.03500386,0,0,0,0,0.076839204,-0.021428603,0,-0.159381651,0.247701753,0.334498143,0.244298182,0.307192167,0,-0.14347928,0,-0.151791836,-0.073975924,0.144877498,0.07994593,,-0.036077034,-0.058333211,-0.1607297
DEFRTG,-0.20,-0.243669763,0.026405126,-0.055731099,0.098882458,0.072276306,0.003928358,-0.249681282,-0.219212696,-0.233942918,-0.155425078,0,0,0,-0.168697298,-0.249415743,0,-0.30037245,-0.310765298,0,0.051397138,-0.272840932,-0.148426765,0.20212575,0,0,0,0,0,-0.196285517,-0.214693736,0,-0.354093818,-0.083198734,-0.205756064,-0.229714933,0.036307899,0,-0.014334214,0,0.089092844,0.116838443,0.030693349,0.023099871,,-0.035918591,-0.006582155,0.116068404
TOV,-0.27,0,-0.269867008,-0.113278674,-0.218610966,-0.310866313,-0.133573231,0.028384099,-0.022266583,-0.036489115,-0.113596463,0,0,0,-0.116672711,0,0,-0.257205394,-0.238786418,0,-0.177832317,-0.325016275,-0.362268596,0.266348285,0,0,0,0,0,0.23766808,0.220692699,0,-0.078614483,0,0,0,0,0,-0.19862734,0,-0.219169732,-0.217321374,0.466545889,0.045723785,,-0.174024401,-0.200170322,-0.196807593
OPP PTS PAINT,-0.28,-0.267431235,-0.023946338,-0.072870051,0.120892508,0.085113847,-0.181151958,0.051086677,-0.003136623,-0.033492161,-0.182036518,0.042731867,0.000780031,-0.053517214,-0.24113614,-0.180304922,0.064350941,-0.289212211,-0.37900723,0.122670545,-0.136240126,0.29812205,0.089614391,0.27507173,0.088707708,0.499832502,0.447184332,0.262133049,0,0.434491946,0.352662046,0.271829342,0.004179547,0.025259582,-0.080532242,-0.150248296,0.096086415,0.19636633,-0.228992248,0.120357187,-0.417849993,-0.364215397,-0.017425963,0.235121365,,-0.332056179,-0.335782583,-0.172009907
OR_PACE,-0.28,0,0.021197922,-0.373007165,0.144955232,-0.070064929,-0.35252936,0.030008163,-0.078585735,-0.056480079,0,0,0,0,0,0,0,0,0,0,-0.443618106,0.302069261,-0.15792697,0.276561657,0,0,0,0,0,0.966206111,0,0,0,0,0,0,0,0,-0.318714035,0,0,0,-0.086214036,-0.013069089,,-0.334405289,-0.3933081,-0.411997043
OREB,-0.32,0,-0.123830291,-0.41487022,0.117101263,-0.129760771,-0.361264232,0.094402998,-0.023773762,-0.029024362,0,0,0,0,0,0,0,0,0,0,-0.510632846,0.368400079,-0.166229542,0.324642521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.346941538,0,0,0,-0.082464485,0.005694168,,-0.354918853,-0.422556756,-0.470029065
2pa,-0.43,0,0.748922341,0,0,0.823162733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.140886393,0.234506308,0.043156797,0.426039738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.351153983,0,0,0,-0.56342472,-0.368941194,,-0.456177771,-0.372663745,0.109277137
OPP PTS OFF TOV,-0.47,-0.488585564,-0.389960412,-0.194138503,-0.263915273,-0.417566458,-0.294678003,0.105455392,0.004260583,-0.013712351,-0.269425449,0.097236815,0.138686003,-0.146302278,-0.281835036,-0.043024287,0.070414265,-0.400183155,-0.398344183,0.099946595,-0.334757909,-0.266174262,-0.451183466,0.472907811,0.000200608,0,0,0,0,0.346165778,0.307056027,0.104645586,-0.135389522,0.420023226,0.311431976,0.277487051,0.898115098,0.427712087,-0.379997384,0.072994121,-0.313447168,-0.299122944,0.353673295,-0.071089124,,-0.297793714,-0.332436288,-0.30998064
Losses,-1.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
