,+/-,2PM_PACE,2p%,2pa,2pm,3P%,3PA,3PM,3PM_PACE,AST,AST RAT,AST%,AST/TO,AST_PACE,BLK,DEFRTG,DREB,DR_PACE,EFG%,FG%,FGA,FGM,Losses,NETRTG,OPP PTS 2ND CHANCE,OPP PTS FB,OPP PTS OFF TOV,OPP PTS PAINT,OREB,OR_PACE,PACE,REB,STL,STOCKS,STOCKS_PACE,TOV,TOV%,TO_RATIO,TS%,UA_PACE,UncontestedAssists,Wins,pts_off_tov,pts_paint,season,ufga,ufgm,ufgp
AST RAT,0.5288849000079853,-0.1387888969077516,0.5827469436114169,-0.36190341816459115,-0.1091229105053466,0.4604814170528996,0.3421450876326933,0.45053660991237005,0.44242258771152054,0.9590052056423076,0.0,0.9486753217707447,0.7542722416680122,0.9921322429536102,0.26875214432158506,-0.31831820757001816,0.11829844942513484,0.05351970705826098,0.0,0.531654830326099,-0.10997162805295968,0.3611698269295495,-0.5079460932361228,0.5244378057328177,0.0,0.0,0.0,0.0,-0.35087581347372065,-0.374183076641212,0.0,-0.16913297700053131,0.3459626308619686,0.3703022305916174,0.35508935541598674,0.03869533361650829,0.0,-0.010727743946544186,0.0,-0.413602332035406,-0.4236358698286652,0.5079460932361228,0.006226161743091598,-0.12405001386617012,,0.06353184317297056,0.24098700176536422,0.37878000460864575
AST%,0.35024307096017404,-0.3087547842886795,0.4552289867690894,-0.4255566750465099,-0.2554309907533044,0.2652286589957408,0.4094180009121871,0.45037040159169495,0.43192608027273055,0.9210441502348803,0.0,0.0,0.0,0.9358737704461065,0.22404514394969902,-0.27601370778492307,0.10631814501116395,-0.010079452013777107,0.0,0.29085737409792595,-0.11623415211534403,0.1599349173827515,-0.34391820036913373,0.34714667027687823,0.0,0.0,0.0,0.0,-0.3400336716250925,-0.37639177908805904,0.0,-0.16963554587379734,0.3357990265956683,0.336267152094902,0.30147357778697204,0.1710239509223991,0.0,-0.0364417911874089,0.0,-0.45436538996436315,-0.4540972824836041,0.34391820036913373,0.055042984234129226,-0.1426073008376841,,0.07903500413017908,0.1907821217301744,0.2566137921054833
AST/TO,0.5553651832248369,0.014059244242505322,0.2943045738872055,-0.1962903820497439,-0.0710591570831918,0.3730432247089381,0.20366490188491085,0.3027617926136925,0.343182073548706,0.6467216656905843,0.0,0.6366936551796141,0.0,0.744966804103178,0.13244567994342782,-0.36786598403318166,0.1326672515311455,0.3095086231463386,0.0,0.3184234644766539,-0.0262946622497536,0.24582872718812507,-0.5015841750217758,0.5469699459192645,0.0,0.0,0.0,0.0,-0.36064101305004764,-0.3183144350986074,0.0,-0.16621775943551398,0.046992867540248784,0.11065046718680778,0.17493593330902046,-0.5948113924258801,0.0,0.031023991437426075,0.0,-0.22430666377972505,-0.27904781001758233,0.5015841750217758,-0.34792835655786597,-0.319757503416816,,0.08853901430493308,0.16672505439874175,0.18719096668051538
AST_PACE,0.0,-0.07050615153910712,0.5766916262387932,-0.2971638272351589,-0.0379948838452256,0.43896849188260095,0.30475794468354084,0.41193145479902216,0.4003268289460065,0.9686729538025043,0.0,0.0,0.0,0.0,0.0,0.0,0.12220462322457629,0.052271038351622695,0.0,0.5411373709339985,-0.04638928532689754,0.41511272218602263,-0.5273280911664969,0.0,0.0,0.0,0.0,0.0,-0.23814062835762068,-0.25992642902238244,0.0,-0.08594695492865966,0.0,0.0,0.0,0.0,0.0,-0.010716074825313351,0.0,0.0,0.0,0.5273280911664969,0.011837342935351092,-0.1024290954437463,,0.03506087223635239,0.22703562301343777,0.40311553197571737
BLK,0.0,0.1910022058512172,0.1398255017074152,0.14338611047935876,0.24743480286252506,0.17170086307675575,-0.12806607233413628,-0.06837100229018024,-0.09819836061702794,0.3068371544504838,0.0,0.0,0.0,0.280464048216808,0.0,0.0,0.2953712938402261,0.19845316738711596,0.0,0.27478503678673655,0.057382343514937234,0.26244298985360015,-0.2761743728883247,0.0,0.0,0.0,0.0,0.0,-0.021252547525282717,-0.04709842550807578,0.0,0.18808685251161444,0.36337825825959724,0.0,0.0,0.13436262075663177,0.0,-0.05394844322131562,0.0,-0.12032030288356542,-0.10080027366949015,0.2761743728883247,-0.04419160613320068,0.10017172896687518,,0.07480746504802605,0.10202258518093259,0.06365768927394827
DEFRTG,-0.6684452645609771,-0.0014697886562136007,-0.15097824661902637,0.16020372063430469,0.10492899196995657,-0.24458608466419096,-0.022079449131596537,-0.0893075998642712,-0.13358616741371687,-0.23389174234027746,0.0,0.0,0.0,-0.3162664052735554,-0.5525089499137986,0.0,-0.2840750672025338,-0.5200716987623292,0.0,-0.20224029985741757,0.28719746641491134,0.042869572384313506,0.677772754955263,0.0,0.0,0.0,0.0,0.0,0.20590415798084427,0.14411540578117885,0.0,-0.048463766695745314,-0.28830306922072085,-0.515259813257131,-0.6190620004840851,0.24234562284735622,0.0,-0.18839786218354537,0.0,-0.22228518387594662,-0.1744028278754452,-0.677772754955263,0.16142118425245683,0.2274874520297661,,-0.3379938077333182,-0.3561291897688115,-0.12245367024760807
DREB,0.0,-0.09568622086999178,0.24392858591888736,-0.05159849704945949,0.06139945054712178,-0.05112570743275221,0.25831537794846254,0.22833913833227115,0.16397251558733006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09570504322838896,0.3706099558430001,0.34341405535017905,-0.21453852232353388,0.0,0.0,0.0,0.0,0.0,0.01686976211430202,-0.0660550258385255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.033985517153093094,0.0,0.0,0.0,0.21453852232353388,-0.053312835286721975,0.22073235475351802,,0.34819254651751,0.30532975349505853,-0.012527486893676056
DR_PACE,0.0,0.04003901751496541,-0.02591125660820024,-0.041063231189334984,-0.06245445947799246,0.1604791172590564,-0.008049808015826972,0.04422628544043374,0.08824663552332067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7405626450472554,0.0,0.0,0.04895779810553907,-0.09888788232414926,-0.035647297813596907,-0.35177267297830156,0.0,0.0,0.0,0.0,0.0,-0.13962702351943188,-0.07871586933981137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10859715771195391,0.0,0.0,0.0,0.35177267297830156,-0.26553183727167656,-0.05438806981936767,,0.43996052794125284,0.31083918097737423,-0.15624849142735966
EFG%,0.7409560758650837,-0.2239552682147346,0.9177284641860037,-0.5696976264307855,-0.1769517908200942,0.7816529350919764,0.508116297789458,0.7014868560449091,0.6975864094064195,0.6005000953803293,0.6108244663561498,0.43606592691943685,0.37961200476453233,0.5934240687721241,0.1505321712765188,-0.20224099823327593,0.154084776027898,0.06215628362372146,0.0,0.8699969900570154,-0.2293028629171332,0.5526588855541938,-0.7176487883381242,0.7469323745244295,0.0,0.0,0.0,0.0,-0.32837626417898785,-0.36546687043893084,0.0,-0.1284406467363177,0.18672356392534548,0.20330787327372668,0.1687106155948981,0.1008573751355382,0.08774610206554688,-0.14996603867164407,0.0,-0.1480499573349557,-0.13787348099284205,0.7176487883381242,-0.0398386462799648,-0.0903638892357796,,-0.02222495058169084,0.26976338634522135,0.5614092343890233
FG%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.16474184933270475,0.7015001097934812,-0.6667659785373315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0508169602982009,0.0,0.0,0.0,0.6667659785373315,0.12877716104336923,0.13652957003721017,,-0.09142922664233517,0.22094145463725426,0.5869450779156179
