team,season,ufga,ufgm,pts_off_tov,pts_paint,ufgp,Wins,Losses,FGM,FGA,FG%,2pm,2pa,2p%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB_x,REB,AST,TOV,STL_x,BLK_x,BLKA,PF,PFD,+/-,GP_x,W_x,L_x,MIN_x,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST RAT,OREB%,DREB%_x,REB%,TOV%,EFG%,TS%,PACE,PIE,GP_y,W_y,L_y,MIN_y,DEFåÊRTG,DREB_y,DREB%_y,STL_y,BLK_y,OPPåÊPTS OFFåÊTOV,OPPåÊPTS 2NDåÊCHANCE,OPPåÊPTS FB,OPPåÊPTS PAINT
Nets,2016,1380,532,640,1636,0.3855072463768116,20,62,3102,6987,44.4,2225,4396,0.506141947,877,2591,33.8,1592,2020,78.8,721,2879,3600,1756,1356,593,387,457,1726,1671,-552,82,20,62,3951,101.9,108.0,-6.1,56.6,1.29,16.0,19.6,76.1,48.2,15.9,50.7,55.1,103.58,46.0,82,20,62,3951,108,2879,76.1,593,387,1570,1176,1151,3692
Nuggets,2014,12104,4940,5460,14380,0.4081295439524124,30,52,3099,7158,43.3,2439,5126,0.47580959799999994,660,2032,32.5,1462,1991,73.4,1012,2653,3665,1788,1166,641,367,504,1882,1698,-291,29,16,13,1402,107.5,107.4,0.2,58.4,1.49,17.3,27.5,77.9,52.2,15.7,52.7,55.8,99.51,50.2,82,30,52,3976,106,2653,74.7,641,367,1348,1160,1082,3516
Nuggets,2015,12728,5504,6084,16900,0.43243243243243246,33,49,3093,7003,44.2,2437,5060,0.48162055299999995,656,1943,33.8,1513,1974,76.6,941,2718,3659,1858,1202,609,395,517,1723,1712,-254,82,33,49,3966,102.7,106.4,-3.7,60.1,1.55,17.0,25.8,77.3,51.1,14.8,48.9,53.1,98.16,47.9,82,33,49,3966,106,2718,77.3,609,395,1378,995,1070,3534
Nuggets,2016,1316,524,630,1748,0.3981762917933131,40,42,3377,7194,46.9,2507,4829,0.519155105,870,2365,36.8,1537,1986,77.4,966,2837,3803,2077,1226,568,323,404,1567,1653,42,82,40,42,3951,110.0,110.5,-0.5,61.5,1.69,18.3,27.3,78.7,53.2,14.7,53.0,56.8,100.7,50.3,82,40,42,3951,111,2837,78.7,568,323,1472,1007,1174,3888
Pacers,2014,12208,5284,4872,12360,0.43283093053735255,38,44,2998,6824,43.9,2386,5084,0.4693155,612,1740,35.2,1373,1817,75.6,856,2822,3678,1757,1147,505,375,386,1742,1754,23,29,16,13,1397,107.8,105.9,2.0,55.5,1.64,17.3,22.2,75.5,49.4,14.0,53.5,56.5,100.36,51.1,82,38,44,3971,101,2822,77.9,505,375,1274,967,1070,3140
Pacers,2015,13552,5828,7932,18248,0.43004722550177094,45,37,3142,6985,45.0,2479,5096,0.486459969,663,1889,35.1,1430,1872,76.4,847,2779,3626,1741,1219,742,391,366,1641,1676,140,82,45,37,3976,102.4,100.2,2.2,55.4,1.43,16.2,23.4,76.0,49.8,14.9,49.7,53.6,98.99,51.8,82,45,37,3976,100,2779,76.0,742,391,1337,1070,1002,3408
Pacers,2016,1672,744,842,1816,0.4449760765550239,42,40,3221,6931,46.5,2512,5046,0.497820055,709,1885,37.6,1467,1811,81.0,742,2702,3444,1844,1130,669,409,407,1597,1599,-18,82,42,40,3971,106.2,106.3,-0.1,57.2,1.63,17.2,21.2,75.5,48.7,13.9,51.6,55.8,98.15,50.5,82,42,40,3971,106,2702,75.5,669,409,1330,1060,867,3256
Pelicans,2014,12552,5508,4920,15664,0.43881453154875716,45,37,3108,6795,45.7,2522,5212,0.483883346,586,1583,37.0,1345,1790,75.1,942,2621,3563,1806,1087,553,510,475,1530,1533,65,30,15,15,1455,107.8,107.8,0.1,63.7,1.62,19.3,20.2,77.0,49.7,16.1,55.7,58.5,102.16,50.8,82,45,37,3956,105,2621,75.1,553,510,1210,1058,1123,3812
Pelicans,2015,13496,5880,5260,14856,0.43568464730290457,30,52,3153,7040,44.8,2451,5089,0.481627039,702,1951,36.0,1415,1823,77.6,782,2712,3494,1818,1102,633,342,423,1713,1630,-311,82,30,52,3956,103.2,107.3,-4.1,57.7,1.65,16.9,21.2,78.8,49.0,13.5,49.8,53.7,98.91,47.2,82,30,52,3956,107,2712,78.8,633,342,1226,927,962,3544
Pelicans,2016,1836,728,624,1800,0.39651416122004357,34,48,3210,7130,45.0,2442,4934,0.49493311700000003,768,2196,35.0,1368,1825,75.0,703,2879,3582,1869,1054,638,453,348,1490,1581,-172,82,34,48,3981,103.3,104.9,-1.6,58.2,1.77,17.2,18.5,76.8,47.5,12.7,50.4,53.9,100.09,49.3,82,34,48,3981,105,2879,76.8,638,453,1276,1013,1114,3616
Pistons,2014,11748,4960,5498,15000,0.42219952332311883,32,50,3041,7038,43.2,2338,4995,0.46806806799999995,703,2043,34.4,1292,1838,70.3,1051,2630,3681,1771,1099,623,383,391,1559,1584,-82,29,16,13,1392,104.1,104.3,-0.2,56.6,1.51,16.7,24.2,77.5,49.8,14.7,51.1,54.1,98.05,48.1,82,32,50,3966,104,2630,75.0,623,383,1295,1110,930,3522
Pistons,2015,13184,5520,5412,15608,0.4186893203883495,44,38,3111,7087,43.9,2371,4939,0.480056692,740,2148,34.5,1399,2095,66.8,1021,2777,3798,1594,1110,573,304,366,1557,1773,50,82,44,38,3976,103.3,103.4,-0.2,51.2,1.44,14.9,27.0,79.3,52.1,13.7,49.1,52.2,97.39,48.6,82,44,38,3976,103,2777,79.3,573,304,1195,879,854,3640
Pistons,2016,1556,628,560,1672,0.40359897172236503,37,45,3269,7282,44.9,2638,5367,0.49152226600000004,631,1915,33.0,1140,1586,71.9,908,2838,3746,1732,973,574,310,339,1467,1434,-92,82,37,45,3961,103.3,105.3,-2.0,53.0,1.78,16.2,24.1,81.2,51.6,12.1,49.2,52.1,97.09,48.2,82,37,45,3961,105,2838,81.2,574,310,1045,832,877,3378
Raptors,2014,11360,4960,5366,14924,0.43661971830985913,49,33,3108,6829,45.5,2382,4769,0.499475781,726,2060,35.2,1585,2014,78.7,881,2526,3407,1701,1057,615,357,413,1712,1668,252,27,19,8,1296,110.6,102.4,8.2,55.9,1.66,17.5,21.6,77.5,50.3,13.8,54.8,58.3,100.39,54.0,82,49,33,3971,105,2526,73.3,615,357,1230,1162,1013,3582
