Team,season,FGM,FGA,FG%,2pm,2pa,2p%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-
Nets,2015,3136,6920,45.3,2605,5412,0.481337768,531,1508,35.2,1286,1699,75.7,863,2614,3477,1829,1212,627,332,430,1476,1510,-603
Lakers,2015,2880,6956,41.4,2241,4940,0.453643725,639,2016,31.7,1583,2028,78.1,878,2645,3523,1478,1124,593,337,458,1662,1573,-784
76ers,2015,2970,6887,43.1,2206,4632,0.476252159,764,2255,33.9,1284,1850,69.4,777,2605,3382,1765,1343,680,495,466,1780,1571,-839
Warriors,2016,3532,7140,49.5,2550,4578,0.557011796,982,2562,38.3,1457,1850,78.8,770,2873,3643,2491,1211,785,555,313,1585,1588,954
Spurs,2016,3222,6864,46.9,2469,4937,0.500101276,753,1927,39.1,1440,1806,79.7,821,2777,3598,1954,1101,655,484,333,1498,1623,590
Rockets,2016,3305,7152,46.2,2124,3846,0.55226209,1181,3306,35.7,1667,2177,76.6,892,2746,3638,2070,1240,670,352,409,1634,1674,473
Celtics,2016,3168,6978,45.4,2183,4236,0.515344665,985,2742,35.9,1536,1903,80.7,744,2698,3442,2069,1088,617,340,425,1686,1664,216
Cavaliers,2016,3275,6963,47,2208,4184,0.527724665,1067,2779,38.4,1431,1913,74.8,766,2821,3587,1858,1121,539,327,349,1486,1690,261
Clippers,2016,3242,6820,47.5,2401,4575,0.524808743,841,2245,37.5,1586,2128,74.5,738,2790,3528,1848,1062,612,347,258,1626,1835,352
Raptors,2016,3211,6918,46.4,2486,4922,0.505079236,725,1996,36.3,1615,2028,79.6,871,2676,3547,1517,1041,677,400,392,1708,1666,345
Jazz,2016,3033,6515,46.6,2242,4387,0.511055391,791,2128,37.2,1401,1875,74.7,771,2774,3545,1651,1118,550,410,312,1545,1655,323
Wizards,2016,3388,7137,47.5,2632,5107,0.515371059,756,2030,37.2,1421,1812,78.4,843,2671,3514,1956,1162,693,336,377,1745,1621,148
Thunder,2016,3237,7169,45.2,2545,5053,0.503661191,692,2116,32.7,1575,2113,74.5,1002,2821,3823,1721,1230,648,408,450,1715,1697,62
Hawks,2016,3123,6918,45.1,2394,4781,0.500732064,729,2137,34.1,1484,2039,72.8,842,2793,3635,1938,1294,672,397,424,1491,1768,-70
Grizzlies,2016,2984,6854,43.5,2217,4685,0.47321238,767,2169,35.4,1504,1918,78.4,886,2621,3507,1744,1059,653,344,410,1840,1708,40
Pacers,2016,3221,6931,46.5,2512,5046,0.497820055,709,1885,37.6,1467,1811,81,742,2702,3444,1844,1130,669,409,407,1597,1599,-18
Bucks,2016,3182,6715,47.4,2462,4769,0.516250786,720,1946,37,1413,1839,76.8,723,2589,3312,1984,1145,666,436,375,1660,1579,-15
Bulls,2016,3169,7141,44.4,2546,5310,0.479472693,623,1831,34,1474,1848,79.8,999,2797,3796,1851,1112,643,393,378,1455,1541,35
Heat,2016,3202,7037,45.5,2394,4824,0.496268657,808,2213,36.5,1248,1768,70.6,872,2705,3577,1742,1102,588,469,398,1680,1530,87
Trail Blazers,2016,3243,7059,45.9,2391,4787,0.499477752,852,2272,37.5,1513,1940,78,830,2750,3580,1733,1126,574,408,431,1736,1624,-43
Nuggets,2016,3377,7194,46.9,2507,4829,0.519155105,870,2365,36.8,1537,1986,77.4,966,2837,3803,2077,1226,568,323,404,1567,1653,42
Pistons,2016,3269,7282,44.9,2638,5367,0.491522266,631,1915,33,1140,1586,71.9,908,2838,3746,1732,973,574,310,339,1467,1434,-92
